model,accuracy
G2pC-pkuseg,0.9029982363315696
G2pC-FastHan,0.8994708994708994
G2pC-UDPipe,0.8800705467372134
G2pM-pkuseg,0.8871252204585538
xpinyin,0.8306878306878307
pypinyin,0.7742504409171076
